DATE,대외채권,대외채무,순대외채권,외환보유액(천달러)
1971-01-01,,,,593845
1971-01-02,,,,593845
1971-01-03,,,,593845
1971-01-04,,,,593845
1971-01-05,,,,593845
1971-01-06,,,,593845
1971-01-07,,,,593845
1971-01-08,,,,593845
1971-01-09,,,,593845
1971-01-10,,,,593845
1971-01-11,,,,593845
1971-01-12,,,,593845
1971-01-13,,,,593845
1971-01-14,,,,593845
1971-01-15,,,,593845
1971-01-16,,,,593845
1971-01-17,,,,593845
1971-01-18,,,,593845
1971-01-19,,,,593845
1971-01-20,,,,593845
1971-01-21,,,,593845
1971-01-22,,,,593845
1971-01-23,,,,593845
1971-01-24,,,,593845
1971-01-25,,,,593845
1971-01-26,,,,593845
1971-01-27,,,,593845
1971-01-28,,,,593845
1971-01-29,,,,593845
1971-01-30,,,,593845
1971-01-31,,,,593845
1971-02-01,,,,566473
1971-02-02,,,,566473
1971-02-03,,,,566473
1971-02-04,,,,566473
1971-02-05,,,,566473
1971-02-06,,,,566473
1971-02-07,,,,566473
1971-02-08,,,,566473
1971-02-09,,,,566473
1971-02-10,,,,566473
1971-02-11,,,,566473
1971-02-12,,,,566473
1971-02-13,,,,566473
1971-02-14,,,,566473
1971-02-15,,,,566473
1971-02-16,,,,566473
1971-02-17,,,,566473
1971-02-18,,,,566473
1971-02-19,,,,566473
1971-02-20,,,,566473
1971-02-21,,,,566473
1971-02-22,,,,566473
1971-02-23,,,,566473
1971-02-24,,,,566473
1971-02-25,,,,566473
1971-02-26,,,,566473
1971-02-27,,,,566473
1971-02-28,,,,566473
1971-03-01,,,,570047
1971-03-02,,,,570047
1971-03-03,,,,570047
1971-03-04,,,,570047
1971-03-05,,,,570047
1971-03-06,,,,570047
1971-03-07,,,,570047
1971-03-08,,,,570047
1971-03-09,,,,570047
1971-03-10,,,,570047
1971-03-11,,,,570047
1971-03-12,,,,570047
1971-03-13,,,,570047
1971-03-14,,,,570047
1971-03-15,,,,570047
1971-03-16,,,,570047
1971-03-17,,,,570047
1971-03-18,,,,570047
1971-03-19,,,,570047
1971-03-20,,,,570047
1971-03-21,,,,570047
1971-03-22,,,,570047
1971-03-23,,,,570047
1971-03-24,,,,570047
1971-03-25,,,,570047
1971-03-26,,,,570047
1971-03-27,,,,570047
1971-03-28,,,,570047
1971-03-29,,,,570047
1971-03-30,,,,570047
1971-03-31,,,,570047
1971-04-01,,,,570295
1971-04-02,,,,570295
1971-04-03,,,,570295
1971-04-04,,,,570295
1971-04-05,,,,570295
1971-04-06,,,,570295
1971-04-07,,,,570295
1971-04-08,,,,570295
1971-04-09,,,,570295
1971-04-10,,,,570295
1971-04-11,,,,570295
1971-04-12,,,,570295
1971-04-13,,,,570295
1971-04-14,,,,570295
1971-04-15,,,,570295
1971-04-16,,,,570295
1971-04-17,,,,570295
1971-04-18,,,,570295
1971-04-19,,,,570295
1971-04-20,,,,570295
1971-04-21,,,,570295
1971-04-22,,,,570295
1971-04-23,,,,570295
1971-04-24,,,,570295
1971-04-25,,,,570295
1971-04-26,,,,570295
1971-04-27,,,,570295
1971-04-28,,,,570295
1971-04-29,,,,570295
1971-04-30,,,,570295
1971-05-01,,,,573831
1971-05-02,,,,573831
1971-05-03,,,,573831
1971-05-04,,,,573831
1971-05-05,,,,573831
1971-05-06,,,,573831
1971-05-07,,,,573831
1971-05-08,,,,573831
1971-05-09,,,,573831
1971-05-10,,,,573831
1971-05-11,,,,573831
1971-05-12,,,,573831
1971-05-13,,,,573831
1971-05-14,,,,573831
1971-05-15,,,,573831
1971-05-16,,,,573831
1971-05-17,,,,573831
1971-05-18,,,,573831
1971-05-19,,,,573831
1971-05-20,,,,573831
1971-05-21,,,,573831
1971-05-22,,,,573831
1971-05-23,,,,573831
1971-05-24,,,,573831
1971-05-25,,,,573831
1971-05-26,,,,573831
1971-05-27,,,,573831
1971-05-28,,,,573831
1971-05-29,,,,573831
1971-05-30,,,,573831
1971-05-31,,,,573831
