수출금액지수,수입금액지수,수출물가지수(원화기준),수출물가지수(계약통화기준),수출물가지수(달러기준),수입물가지수(원화기준),수입물가지수(계약통화기준),수입물가지수(달러기준),DATE
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-01
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-02
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-03
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-04
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-05
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-06
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-07
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-08
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-09
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-10
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-11
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-12
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-13
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-14
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-15
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-16
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-17
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-18
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-19
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-20
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-21
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-22
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-23
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-24
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-25
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-26
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-27
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-28
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-29
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-30
,,18.86,71.65,70.92,6,25.09,23.35,1971-01-31
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-01
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-02
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-03
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-04
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-05
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-06
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-07
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-08
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-09
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-10
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-11
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-12
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-13
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-14
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-15
,,18.95,71.57,70.86,6.05,25.14,23.39,1971-02-16
