날짜,기준금리,CD(91일),KOFR(공시RFR),"무담보콜금리(1일, 전체거래)",경상수지(계절조정)
1995-01-03,,14.7,,13.06,-155.9
1995-01-04,,14.47,,11.63,-155.9
1995-01-05,,14.67,,10.61,-155.9
1995-01-06,,14.83,,9.28,-155.9
1995-01-07,,14.74,,10.78,-155.9
1995-01-08,,,,,
1995-01-09,,14.75,,12.06,-155.9
1995-01-10,,14.88,,12.61,-155.9
1995-01-11,,15.2,,13.2,-155.9
1995-01-12,,15.89,,13.98,-155.9
1995-01-13,,16.3,,14.87,-155.9
1995-01-14,,16.4,,17.47,-155.9
1995-01-15,,,,,
1995-01-16,,16.55,,18.37,-155.9
1995-01-17,,15.9,,15.35,-155.9
1995-01-18,,15.8,,15.13,-155.9
1995-01-19,,16.05,,14.92,-155.9
1995-01-20,,15.8,,15.67,-155.9
1995-01-21,,15.8,,15.2,-155.9
1995-01-22,,,,,
1995-01-23,,16.0,,16.43,-155.9
1995-01-24,,16.5,,21.21,-155.9
1995-01-25,,16.7,,21.34,-155.9
1995-01-26,,16.5,,22.41,-155.9
1995-01-27,,16.54,,20.42,-155.9
1995-01-28,,16.54,,21.26,-155.9
1995-01-29,,,,,
1995-01-30,,,,,
1995-01-31,,,,,
1995-02-01,,,,,
1995-02-02,,16.54,,21.82,-857.0
1995-02-03,,16.75,,22.49,-857.0
1995-02-04,,16.67,,17.36,-857.0
1995-02-05,,,,,
1995-02-06,,16.3,,13.65,-857.0
1995-02-07,,16.27,,15.07,-857.0
1995-02-08,,16.7,,17.05,-857.0
1995-02-09,,16.9,,16.31,-857.0
1995-02-10,,17.0,,16.26,-857.0
1995-02-11,,16.85,,15.88,-857.0
1995-02-12,,,,,
1995-02-13,,16.8,,15.58,-857.0
1995-02-14,,16.9,,15.26,-857.0
1995-02-15,,16.89,,15.44,-857.0
1995-02-16,,16.91,,15.26,-857.0
1995-02-17,,16.9,,13.53,-857.0
1995-02-18,,16.68,,12.78,-857.0
1995-02-19,,,,,
1995-02-20,,16.0,,11.48,-857.0
1995-02-21,,16.4,,11.66,-857.0
1995-02-22,,16.5,,11.9,-857.0
1995-02-23,,16.64,,13.2,-857.0
1995-02-24,,16.7,,13.49,-857.0
1995-02-25,,16.66,,14.11,-857.0
1995-02-26,,,,,
1995-02-27,,16.4,,15.57,-857.0
1995-02-28,,16.5,,15.52,-857.0
1995-03-01,,,,,
1995-03-02,,16.4,,14.43,-1048.1
1995-03-03,,16.29,,13.32,-1048.1
1995-03-04,,16.25,,11.21,-1048.1
1995-03-05,,,,,
1995-03-06,,16.0,,11.11,-1048.1
1995-03-07,,15.95,,11.45,-1048.1
1995-03-08,,15.85,,12.22,-1048.1
1995-03-09,,15.7,,12.42,-1048.1
1995-03-10,,15.6,,12.59,-1048.1
1995-03-11,,15.56,,12.53,-1048.1
1995-03-12,,,,,
1995-03-13,,15.5,,12.53,-1048.1
1995-03-14,,15.55,,12.08,-1048.1
1995-03-15,,15.65,,12.07,-1048.1
1995-03-16,,15.46,,11.65,-1048.1
1995-03-17,,15.2,,11.18,-1048.1
1995-03-18,,15.0,,10.96,-1048.1
1995-03-19,,,,,
1995-03-20,,14.6,,10.87,-1048.1
1995-03-21,,14.8,,10.81,-1048.1
1995-03-22,,14.75,,10.23,-1048.1
1995-03-23,,14.78,,11.75,-1048.1
1995-03-24,,14.9,,12.58,-1048.1
1995-03-25,,14.9,,13.33,-1048.1
1995-03-26,,,,,
1995-03-27,,15.04,,13.27,-1048.1
1995-03-28,,15.05,,13.16,-1048.1
1995-03-29,,14.85,,12.85,-1048.1
1995-03-30,,14.5,,12.4,-1048.1
1995-03-31,,14.4,,12.19,-1048.1
1995-04-01,,14.3,,11.46,-789.0
1995-04-02,,,,,
1995-04-03,,14.15,,11.26,-789.0
1995-04-04,,14.15,,11.38,-789.0
1995-04-05,,,,,
1995-04-06,,14.3,,11.88,-789.0
1995-04-07,,14.4,,11.73,-789.0
1995-04-08,,14.4,,12.51,-789.0
1995-04-09,,,,,
1995-04-10,,14.5,,13.66,-789.0
1995-04-11,,15.0,,14.14,-789.0
1995-04-12,,15.1,,13.41,-789.0
1995-04-13,,14.7,,12.47,-789.0
1995-04-14,,14.55,,12.18,-789.0
1995-04-15,,14.31,,11.71,-789.0
1995-04-16,,,,,
1995-04-17,,14.35,,11.39,-789.0
1995-04-18,,14.55,,11.23,-789.0
1995-04-19,,14.6,,11.53,-789.0
1995-04-20,,14.55,,11.55,-789.0
1995-04-21,,14.6,,11.96,-789.0
1995-04-22,,14.6,,11.78,-789.0
1995-04-23,,,,,
1995-04-24,,14.55,,12.97,-789.0
1995-04-25,,14.64,,13.66,-789.0
1995-04-26,,14.8,,14.12,-789.0
1995-04-27,,14.8,,14.06,-789.0
1995-04-28,,14.7,,13.95,-789.0
1995-04-29,,14.7,,14.38,-789.0
1995-04-30,,,,,
1995-05-01,,,,,
1995-05-02,,14.65,,13.89,-981.4
1995-05-03,,14.65,,13.87,-981.4
1995-05-04,,14.7,,14.06,-981.4
1995-05-05,,,,,
1995-05-06,,14.68,,13.23,-981.4
1995-05-07,,,,,
1995-05-08,,14.8,,13.76,-981.4
1995-05-09,,14.8,,13.64,-981.4
1995-05-10,,14.75,,14.12,-981.4
1995-05-11,,14.85,,14.55,-981.4
1995-05-12,,14.95,,14.56,-981.4
1995-05-13,,14.95,,14.31,-981.4
1995-05-14,,,,,
1995-05-15,,15.0,,14.32,-981.4
1995-05-16,,14.85,,14.01,-981.4
1995-05-17,,14.8,,13.57,-981.4
1995-05-18,,14.85,,12.77,-981.4
1995-05-19,,14.85,,12.08,-981.4
1995-05-20,,14.85,,11.92,-981.4
1995-05-21,,,,,
1995-05-22,,14.8,,11.44,-981.4
1995-05-23,,14.87,,12.92,-981.4
1995-05-24,,14.95,,12.95,-981.4
1995-05-25,,15.05,,13.35,-981.4
1995-05-26,,15.25,,13.96,-981.4
1995-05-27,,15.25,,13.86,-981.4
1995-05-28,,,,,
1995-05-29,,15.06,,13.96,-981.4
1995-05-30,,14.85,,13.38,-981.4
1995-05-31,,14.8,,13.39,-981.4
1995-06-01,,14.78,,12.52,-1164.4
